X_Value,Temperature_0,Temperature_1,Temperature_2
52,217.13739,266.265652,195.992717
52.1,217.13739,266.265652,195.992717
52.2,216.481461,265.386864,195.941198
52.3,216.481461,265.386864,195.941198
52.4,216.481461,265.386864,195.941198
52.5,216.251784,264.446924,195.857241
52.6,216.251784,264.446924,195.857241
52.7,216.251784,264.446924,195.857241
52.8,215.575493,263.43783,195.776383
52.9,215.575493,263.43783,195.776383
53,215.575493,263.43783,195.776383
53.1,215.086543,262.52953,195.689801
53.2,215.086543,262.52953,195.689801
53.3,215.086543,262.52953,195.689801
53.4,214.97273,261.851398,195.541917
53.5,214.97273,261.851398,195.541917
53.6,214.97273,261.851398,195.541917
53.7,214.748657,261.163967,195.370416
53.8,214.748657,261.163967,195.370416
53.9,214.748657,261.163967,195.370416
54,214.495341,260.291203,195.254968
54.1,214.495341,260.291203,195.254968
54.2,214.495341,260.291203,195.254968
54.3,213.653282,259.232194,195.090857
54.4,213.653282,259.232194,195.090857
54.5,213.653282,259.232194,195.090857
54.6,213.269621,258.540718,194.874503
54.7,213.269621,258.540718,194.874503
54.8,213.269621,258.540718,194.874503
54.9,212.787017,257.883156,194.735911
55,212.787017,257.883156,194.735911
55.1,212.787017,257.883156,194.735911
55.2,212.699999,257.293903,194.616877
55.3,212.699999,257.293903,194.616877
55.4,212.699999,257.293903,194.616877
55.5,212.12839,256.546661,194.536486
55.6,212.12839,256.546661,194.536486
55.7,212.12839,256.546661,194.536486
55.8,212.034936,255.848534,194.504759
55.9,212.034936,255.848534,194.504759
56,212.034936,255.848534,194.504759
56.1,211.953371,255.12048,194.367832
56.2,211.953371,255.12048,194.367832
56.3,211.953371,255.12048,194.367832
56.4,211.492957,254.396176,194.217781
56.5,211.492957,254.396176,194.217781
56.6,211.492957,254.396176,194.217781
56.7,211.107177,253.631608,194.173172
56.8,211.107177,253.631608,194.173172
56.9,211.107177,253.631608,194.173172
57,210.91451,252.838213,194.081327
57.1,210.91451,252.838213,194.081327
57.2,210.91451,252.838213,194.081327
57.3,210.314093,252.032127,193.900737
57.4,210.314093,252.032127,193.900737
57.5,210.314093,252.032127,193.900737
57.6,210.04026,251.387948,193.71752
57.7,210.04026,251.387948,193.71752
57.8,210.04026,251.387948,193.71752
57.9,209.613654,250.716161,193.607541
58,209.613654,250.716161,193.607541
58.1,209.613654,250.716161,193.607541
58.2,208.947843,249.960461,193.427183
58.3,208.947843,249.960461,193.427183
58.4,208.947843,249.960461,193.427183
58.5,208.329531,249.239703,193.214852
58.6,208.329531,249.239703,193.214852
58.7,208.329531,249.239703,193.214852
58.8,208.098891,248.530455,192.983671
58.9,208.098891,248.530455,192.983671
59,208.098891,248.530455,192.983671
59.1,207.660666,247.784843,192.744134
59.2,207.660666,247.784843,192.744134
59.3,207.660666,247.784843,192.744134
59.4,207.485697,247.270732,192.539428
59.5,207.485697,247.270732,192.539428
59.6,207.485697,247.270732,192.539428
59.7,207.265727,246.575682,192.371222
59.8,207.265727,246.575682,192.371222
59.9,207.265727,246.575682,192.371222
60,206.490987,245.727723,192.181541
60.1,206.490987,245.727723,192.181541
60.2,206.490987,245.727723,192.181541
60.3,206.188818,245.067702,191.986132
60.4,206.188818,245.067702,191.986132
60.5,206.188818,245.067702,191.986132
60.6,205.768274,244.261045,191.790719
60.7,205.768274,244.261045,191.790719
60.8,205.768274,244.261045,191.790719
60.9,205.564418,243.630948,191.616063
61,205.564418,243.630948,191.616063
61.1,205.564418,243.630948,191.616063
61.2,204.996865,242.876022,191.435201
61.3,204.996865,242.876022,191.435201
61.4,204.996865,242.876022,191.435201
61.5,204.235819,242.318023,191.187289
61.6,204.235819,242.318023,191.187289
61.7,204.235819,242.318023,191.187289
61.8,203.523743,241.55115,190.910977
61.9,203.523743,241.55115,190.910977
62,203.523743,241.55115,190.910977
62.1,203.258328,240.925517,190.634423
62.2,203.258328,240.925517,190.634423
62.3,203.258328,240.925517,190.634423
62.4,202.772496,240.285122,190.400578
62.5,202.772496,240.285122,190.400578
62.6,202.772496,240.285122,190.400578
62.7,202.180815,239.630426,190.094428
62.8,202.180815,239.630426,190.094428
62.9,202.180815,239.630426,190.094428
63,201.739219,238.749135,189.867974
63.1,201.739219,238.749135,189.867974
63.2,201.739219,238.749135,189.867974
63.3,201.187,238.007295,189.566589
63.4,201.187,238.007295,189.566589
63.5,201.187,238.007295,189.566589
63.6,200.810643,237.526677,189.295267
63.7,200.810643,237.526677,189.295267
63.8,200.810643,237.526677,189.295267
63.9,200.171333,236.916282,189.049477
64,200.171333,236.916282,189.049477
64.1,200.171333,236.916282,189.049477
64.2,200.147971,236.440876,188.802253
64.3,200.147971,236.440876,188.802253
